Island,Island_code,Chain,Lat_is,Long_is,Strata_KNSO_HIES_2006,Development,Land_area_km2,Lagoon_area_km2,Reef_area_km2,Reef_base_area_km2,Pop_2005,Pop_2010,Pop_2015,Pop_2020,Pop_density_2015_km2,Pop_density_2020_km2,Tot_HH_2015,HH_MainRole_Fishing_2015,HH_AnyMemberRegularlyFish_2015,HH_AnyMemberFish_2020,Lat_msec,Long_msec,Npp_mean,Npp_min,Npp_max,Npp_sd,Npp_interann_sd,Wave_mean,Wave_sd,Wave_interann_sd,Lat_noaa,Long_noaa,SST_mean_C,SST_sd_C,DHW_mean_max,DHW_mean_sd,BAA_lv2_annual_freq,Years_of_BAA_lv2,MaxN_mean_motorboat_effort,MaxN_se_motorboat_effort,Derelict_fishing_gear_km2_mean,Derelict_fishing_gear_km2_sd,Plastic_pollution_km2_mean,Plastic_pollution_km2_sd
BUTARITARI,BUT,Gilbert,3.094131,172.827426,Northern,Low,13.49,295.77,82.61,11.70,3280.00,4346.00,3224.00,3241.00,238.99,240.25,1899.00,208.00,164.00,480.00,3.13,172.63,763.55,495.70,1111.64,160.02,112.63,12.90,5.08,1.04,3.13,172.63,29.02,0.51,2.84,4.05,16.67,"2004-2005, 2009-2010, 2014-2015, 2018-2019, 2019-2020",0.81,0.19,2.20,0.90,0.00,0.00
ABAIANG,ABG,Gilbert,1.816768,173.025273,Northern,Medium,17.48,74.20,182.15,28.00,5502.00,5502.00,5568.00,5872.00,318.54,335.93,3413.00,174.00,155.00,738.00,1.78,172.78,834.63,590.32,1117.93,123.52,117.77,7.97,2.61,0.68,1.78,172.78,28.93,0.64,3.83,4.56,20.00,"2004-2005, 2006-2007, 2009-2010, 2014-2015, 2018-2019, 2019-2020",1.04,0.23,1.70,0.70,0.00,0.00
N TARAWA,NTW,Gilbert,1.520153,173.003548,Northern,High,15.44,366.91,88.67,257.70,5678.00,6102.00,6629.00,7041.00,429.34,456.02,4181.00,664.00,499.00,785.00,1.58,172.83,948.13,527.82,1261.47,160.61,125.06,7.98,2.23,0.72,1.58,172.83,28.92,0.66,3.95,4.71,20.00,"2004-2005, 2006-2007, 2009-2010, 2014-2015, 2018-2019, 2019-2020",1.27,0.34,7.20,2.90,6.10,2.50
S TARAWA,STW,Gilbert,1.329115,172.979108,Central,High,15.76,167.00,40.36,117.30,40311.00,50182.00,56388.00,63439.00,3577.92,4025.32,38078.00,1724.00,923.00,2360.00,1.33,172.83,821.25,610.22,1145.96,120.43,101.66,8.54,2.28,0.77,1.33,172.83,28.93,0.67,4.24,4.78,20.00,"2004-2005, 2006-2007, 2009-2010, 2014-2015, 2018-2019, 2019-2020",2.86,0.23,13.90,5.70,13.30,5.40
ABEMAMA,ABE,Gilbert,0.420976,173.918525,Central,Medium,27.37,152.49,67.86,23.20,3404.00,3213.00,3262.00,3257.00,119.18,119.00,2153.00,196.00,146.00,606.00,0.43,173.68,912.97,584.05,1193.56,133.22,133.02,11.89,4.28,0.98,0.43,173.68,28.87,0.70,3.18,3.60,16.67,"1991-1992, 2004-2005, 2009-2010, 2018-2019, 2019-2020",1.29,0.19,2.20,0.90,0.00,0.00
N TABITEUAE,NTB,Gilbert,-1.203322,174.747532,Southern,Medium,25.78,223.00,16.35,20.54,3600.00,3689.00,3955.00,4120.00,153.41,159.81,2536.00,166.00,123.00,427.00,-1.23,174.58,872.19,680.98,1035.29,91.24,100.03,9.00,1.85,0.83,-1.23,174.58,29.03,0.67,2.79,3.55,16.67,"2004-2005, 2009-2010, 2015-2016, 2018-2019, 2019-2020",1.38,0.18,0.00,0.00,0.00,0.00
S TABITEUAE,STB,Gilbert,-1.476103,175.055381,Southern,Low,11.85,309.00,22.65,28.46,1298.00,1290.00,1306.00,1357.00,110.21,114.51,809.00,122.00,112.00,240.00,-1.58,174.78,862.99,489.79,1041.18,99.57,112.62,9.39,1.57,0.88,-1.58,174.78,29.07,0.65,3.16,3.92,20.00,"2004-2005, 2006-2007, 2009-2010, 2015-2016, 2018-2019, 2019-2020",0.79,0.15,0.00,0.00,0.00,0.00
ONOTOA,ONO,Gilbert,-1.87433,175.599591,Southern,Low,15.62,75.38 ,21.56 ,54 ,1644.00,1519.00,1393.00,1423.00,89.18,91.10,965.00,111.00,92.00,204.00,-1.93,175.38,776.56,636.35,907.91,60.62,89.89,14.31,2.96,1.30,-1.93,175.38,29.09,0.62,2.34,3.05,10.00,"2004-2005, 2009-2010, 2015-2016",0.80,0.36,1.10,0.50,0.50,0.20
TABUAERAN,TAB,Line,3.906888,-159.389022,Line,Low,33.70,110 ,51 ,,2539.00,1960.00,2315.00,1992.00,68.69,59.11,1374.00,173.00,159.00,255.00,3.83,-159.43,826.87,670.79,1204.65,97.67,51.19,28.06,8.76,2.83,3.83,-159.43,27.91,0.58,2.23,4.03,6.67,"2002-2003, 2015-2016 ",0.83,0.17,0.00,0.00,0.00,0.00
KIRITIMATI,KIR,Line,2.015833,-157.487531,Line,High,388.39,,,,5115.00,5586.00,6456.00,7380.00,16.62,19.00,4048.00,422.00,363.00,265.00,1.93,-157.68,873.76,774.54,1056.77,48.86,48.41,25.03,6.40,2.58,1.93,-157.68,27.40,0.69,3.51,5.55,13.33,"1991-1992, 1997-1998, 2002-2003, 2015-2016",2.00,0.65,2.80,1.60,2.20,1.40
