Lat,Long,Island,Name_cleaned,Name_original,Description,Notes,Reef_Quality_Sampling,Historic_data
1.854159135,172.9970366,Abaiang,Taburao,Taburao (L),Village,Low,No,
1.803104688,173.037223,Abaiang,Tuarabu,Tuarabu (H),Village,High,No,
1.751273172,173.0408218,Abaiang,Tanimaiaki,Tanimaiaki (M),Village,Medium,No,
1.716081098,172.986511,Abaiang,ABG_FR-6,ABG_FR-6 (D),Site,FR,Yes,(D)
1.726835098,172.983298,Abaiang,ABG_FR-7,ABG_FR-7 (S)*,Site,FR,No,(S)*
1.741428098,172.978267,Abaiang,ABG_FR-8,ABG_FR-8 (C)*,Site,FR,Yes,(C)*
1.794507098,172.916767,Abaiang,ABG_FR-9,ABG_FR-9*,Site,FR,Yes,
1.805308098,172.911213,Abaiang,ABG_FR-11,ABG_FR-11 (Si)*,Site,FR,No,(Si)*
1.784601098,172.935349,Abaiang,ABG_FR-14,ABG_FR-14,Site,FR,No,
1.835950098,172.969876,Abaiang,ABG_LR-1,ABG_LR-1 (S),Site,LR,Yes,(S)
1.808189098,173.000352,Abaiang,ABG_LR-2,ABG_LR-2 (S),Site,LR,Yes,(S)
1.791552098,172.99443,Abaiang,ABG_LR-6,ABG_LR-6,Site,LR,Yes,
1.851520311,172.9925602,Abaiang,ABG_SB-1,ABG_SB-1,Site,SB,Yes,
1.802489197,173.0295115,Abaiang,ABG_SB-2,ABG_SB-2,Site,SB,Yes,
1.755566953,173.0387006,Abaiang,ABG_SB-3,ABG_SB-3,Site,SB,Yes,
1.854399098,172.993415,Abaiang,ABG_SIQ-1,ABG_SIQ-1,Site,SIQ,Yes,
1.803708371,173.032955,Abaiang,ABG_SIQ-2,ABG_SIQ-2,Site,SIQ,Yes,
1.755167098,173.040058,Abaiang,ABG_SIQ-3,ABG_SIQ-3,Site,SIQ,Yes,
1.792748098,172.921007,Abaiang,ABG_MT-1a,ABG_MT-1a,Site,MT,No,
1.787078098,172.932888,Abaiang,ABG_MT-1b,ABG_MT-1b,Site,MT,No,
1.785158098,172.934711,Abaiang,ABG_MT-2a,ABG_MT-2a,Site,MT,No,
1.773096098,172.941451,Abaiang,ABG_MT-2b,ABG_MT-2b,Site,MT,No,
1.714010098,172.990184,Abaiang,ABG_MT-3a,ABG_MT-3a,Site,MT,No,
1.709927098,173.005788,Abaiang,ABG_MT-3b,ABG_MT-3b,Site,MT,No,
1.810155828,173.0286537,Abaiang,Terau beach,Terau beach,Miscellaneous,,No,
1.738257461,172.9840851,Abaiang,MPA (clams),MPA (clams),Miscellaneous,,No,
1.916142283,172.8199019,Abaiang,Proposed MPA,Proposed MPA,Miscellaneous,,No,
0.4861064002,173.8285313,Abemama,Tabiang,Tabiang (H),Village,High,No,
0.4772918104,173.8560927,Abemama,Tanimainiku,Tanimainiku (L),Village,Low,No,
0.3593044796,173.9352481,Abemama,Tebanga,Tebanga (M),Village,Medium,No,
0.4618997367,173.7937965,Abemama,ABE_FR-1,ABE_FR-1 (Sf),Site,FR,No,(Sf)
0.4090710975,173.794241,Abemama,ABE_FR-2,ABE_FR-2 (Sf),Site,FR,Yes,(Sf)
0.3984400975,173.760627,Abemama,ABE_FR-3,ABE_FR-3 (Sf),Site,FR,No,(Sf)
0.3666510975,173.818384,Abemama,ABE_FR-5,ABE_FR-5 (Sf),Site,FR,No,(Sf)
0.3340090975,173.846239,Abemama,ABE_FR-7,ABE_FR-7 (Sf),Site,FR,Yes,(Sf)
0.4297370975,173.793319,Abemama,ABE_FR-8,ABE_FR-8 (Sf),Site,FR,Yes,(Sf)
0.4458250975,173.83331,Abemama,ABE_LR-1,ABE_LR-1,Site,LR,No,
0.4525910975,173.843132,Abemama,ABE_LR-2,ABE_LR-2,Site,LR,Yes,
0.4069520975,173.89829,Abemama,ABE_LR-4,ABE_LR-4 (Sf),Site,LR,Yes,(Sf)
0.4346400975,173.852794,Abemama,ABE_LR-5,ABE_LR-5,Site,LR,Yes,
0.3592570975,173.883352,Abemama,ABE_LR-8,ABE_LR-8 (Sf),Site,LR,No,(Sf)
0.3698880975,173.900748,Abemama,ABE_LR-9,ABE_LR-9,Site,LR,No,
0.4764977411,173.8299311,Abemama,ABE_SB-1,ABE_SB-1,Site,SB,Yes,
0.4779848684,173.8496268,Abemama,ABE_SB-2,ABE_SB-2,Site,SB,Yes,
0.3543968646,173.9303297,Abemama,ABE_SB-3,ABE_SB-3 (Si),Site,SB,Yes,(Si)
0.442208955,173.8807055,Abemama,ABE_SB-4,ABE_SB-4 (Sf),Site,SB,No,(Sf)
0.4279829643,173.8970266,Abemama,ABE_SB-5,ABE_SB-5 (Sf),Site,SB,No,(Sf)
0.374244082,173.922745,Abemama,ABE_SB-6,ABE_SB-6 (Sf),Site,SB,No,(Sf)
0.4807356833,173.8255503,Abemama,ABE_SIQ-1,ABE_SIQ-1 (Si),Site,SIQ,Yes,(Si)
0.4798751768,173.8517931,Abemama,ABE_SIQ-2,ABE_SIQ-2,Site,SIQ,Yes,
0.3536392713,173.9335155,Abemama,ABE_SIQ-3,ABE_SIQ-3 (Si),Site,SIQ,Yes,(Si)
0.4571920975,173.792803,Abemama,ABE_MT-1a,ABE_MT-1a,Site,MT,No,
0.4425060975,173.790704,Abemama,ABE_MT-1b,ABE_MT-1b,Site,MT,No,
0.3682680975,173.815321,Abemama,ABE_MT-2a,ABE_MT-2a,Site,MT,No,
0.3572977556,173.8257889,Abemama,ABE_MT-2b,ABE_MT-2b,Site,MT,No,
0.3474940975,173.836199,Abemama,ABE_MT-3a,ABE_MT-3a,Site,MT,No,
0.3361970975,173.842988,Abemama,ABE_MT-3b,ABE_MT-3b,Site,MT,No,
0.4037068421,173.921114,Abemama,Green-eco lodge,Green-eco lodge,Miscellaneous,,No,
3.051795187,172.7625325,Butaritari,Ukiangang,Ukiangang (H),Village,High,No,
3.096236668,172.8233717,Butaritari,Tabonuea,Tabonuea (L),Village,Low,No,
3.173955555,172.9604554,Butaritari,Kuma,Kuma (M),Village,Medium,No,
3.135474528,172.7129896,Butaritari,BUT_FR-1,BUT_FR-1,Site,FR,No,
3.128626247,172.723774,Butaritari,BUT_FR-2,BUT_FR-2,Site,FR,Yes,
3.115238383,172.7392937,Butaritari,BUT_FR-4,BUT_FR-4,Site,FR,No,
3.071220182,172.7497168,Butaritari,BUT_FR-7,BUT_FR-7,Site,FR,No,
3.05460767,172.7584238,Butaritari,BUT_FR-9,BUT_FR-9,Site,FR,Yes,
3.044092112,172.7585399,Butaritari,BUT_FR-10,BUT_FR-10,Site,FR,Yes,
3.179169792,172.9265588,Butaritari,BUT_LR-1,BUT_LR-1,Site,LR,Yes,
3.132455522,172.8506238,Butaritari,BUT_LR-2,BUT_LR-2,Site,LR,Yes,
3.127238423,172.8070698,Butaritari,BUT_LR-3,BUT_LR-3,Site,LR,Yes,
3.12939806,172.8269542,Butaritari,BUT_LR-4,BUT_LR-4,Site,LR,No,
3.146289918,172.8683145,Butaritari,BUT_LR-5,BUT_LR-5,Site,LR,No,
3.166896364,172.827406,Butaritari,BUT_LR-6,BUT_LR-6,Site,LR,No,
3.173658598,172.9546791,Butaritari,BUT_SB-1,BUT_SB-1,Site,SB,Yes,
3.133747779,172.9027024,Butaritari,BUT_SB-5,BUT_SB-5,Site,SB,No,
3.103640917,172.8379442,Butaritari,BUT_SB-6,BUT_SB-6,Site,SB,No,
3.098968098,172.818693,Butaritari,BUT_SB-2,BUT_SB-2,Site,SB,Yes,
3.08518298,172.7966501,Butaritari,BUT_SB-4,BUT_SB-4,Site,SB,No,
3.071848729,172.7764713,Butaritari,BUT_SB-3,BUT_SB-3,Site,SB,Yes,
3.172669617,172.9577578,Butaritari,BUT_SIQ-1,BUT_SIQ-1,Site,SIQ,Yes,
