V1,V2,V3
-157.628846154,2.1,-2082
-157.608928571571,2.1,-2088
-157.589010989143,2.1,-2114
-157.569093406714,2.1,-2141
-157.549175824286,2.1,-1968
-157.529258241857,2.1,-615
-157.509340659429,2.1,-240
-157.489423077,2.1,-3
-157.469505494571,2.1,31
-157.449587912143,2.1,-4
-157.429670329714,2.1,-35
-157.409752747286,2.1,-245
-157.389835164857,2.1,-438
-157.369917582429,2.1,-656
-157.35,2.1,-918
-157.330082417571,2.1,-1199
-157.310164835143,2.1,-1550
-157.290247252714,2.1,-1813
-157.270329670286,2.1,-2130
-157.250412087857,2.1,-2175
-157.230494505429,2.1,-2301
-157.210576923,2.1,-2470
-157.190659340571,2.1,-2710
-157.170741758143,2.1,-2963
-157.150824175714,2.1,-3391
-157.130906593286,2.1,-3584
-157.110989010857,2.1,-3751
-157.091071428429,2.1,-3870
-157.071153846,2.1,-3948
-157.628846154,2.08,-2020
-157.608928571571,2.08,-2020
-157.589010989143,2.08,-2041
-157.569093406714,2.08,-2040
-157.549175824286,2.08,-1875
-157.529258241857,2.08,-834
-157.509340659429,2.08,-312
-157.489423077,2.08,-8
-157.469505494571,2.08,56
-157.449587912143,2.08,33
-157.429670329714,2.08,13
-157.409752747286,2.08,-92
-157.389835164857,2.08,-181
-157.369917582429,2.08,-284
-157.35,2.08,-424
-157.330082417571,2.08,-651
-157.310164835143,2.08,-983
-157.290247252714,2.08,-1419
-157.270329670286,2.08,-1966
-157.250412087857,2.08,-2035
-157.230494505429,2.08,-2138
-157.210576923,2.08,-2293
-157.190659340571,2.08,-2496
-157.170741758143,2.08,-2721
-157.150824175714,2.08,-3154
-157.130906593286,2.08,-3343
-157.110989010857,2.08,-3505
-157.091071428429,2.08,-3623
-157.071153846,2.08,-3698
-157.628846154,2.06,-1922
-157.608928571571,2.06,-1882
-157.589010989143,2.06,-1866
-157.569093406714,2.06,-1869
-157.549175824286,2.06,-1791
-157.529258241857,2.06,-979
-157.509340659429,2.06,-283
-157.489423077,2.06,-6
-157.469505494571,2.06,4
-157.449587912143,2.06,-13
-157.429670329714,2.06,1
-157.409752747286,2.06,-25
-157.389835164857,2.06,-24
-157.369917582429,2.06,-20
-157.35,2.06,-24
-157.330082417571,2.06,-172
-157.310164835143,2.06,-385
-157.290247252714,2.06,-923
-157.270329670286,2.06,-1698
-157.250412087857,2.06,-1858
-157.230494505429,2.06,-1993
-157.210576923,2.06,-2127
-157.190659340571,2.06,-2281
-157.170741758143,2.06,-2462
-157.150824175714,2.06,-2866
-157.130906593286,2.06,-3042
-157.110989010857,2.06,-3197
-157.091071428429,2.06,-3308
-157.071153846,2.06,-3383
-157.628846154,2.04,-1802
-157.608928571571,2.04,-1717
-157.589010989143,2.04,-1651
-157.569093406714,2.04,-1591
-157.549175824286,2.04,-1460
-157.529258241857,2.04,-660
-157.509340659429,2.04,3
-157.489423077,2.04,6
-157.469505494571,2.04,4
-157.449587912143,2.04,5
-157.429670329714,2.04,6
-157.409752747286,2.04,6
-157.389835164857,2.04,36
-157.369917582429,2.04,71
-157.35,2.04,82
-157.330082417571,2.04,17
-157.310164835143,2.04,-124
-157.290247252714,2.04,-383
-157.270329670286,2.04,-1234
-157.250412087857,2.04,-1654
-157.230494505429,2.04,-1862
-157.210576923,2.04,-1962
-157.190659340571,2.04,-2077
-157.170741758143,2.04,-2217
-157.150824175714,2.04,-2543
-157.130906593286,2.04,-2700
-157.110989010857,2.04,-2836
-157.091071428429,2.04,-2939
-157.071153846,2.04,-3005
-157.628846154,2.02,-1701
-157.608928571571,2.02,-1576
-157.589010989143,2.02,-1429
-157.569093406714,2.02,-1279
-157.549175824286,2.02,-1070
-157.529258241857,2.02,-481
-157.509340659429,2.02,-122
-157.489423077,2.02,-59
-157.469505494571,2.02,1
-157.449587912143,2.02,-5
-157.429670329714,2.02,4
-157.409752747286,2.02,3
-157.389835164857,2.02,31
-157.369917582429,2.02,50
-157.35,2.02,52
-157.330082417571,2.02,26
-157.310164835143,2.02,-23
-157.290247252714,2.02,23
-157.270329670286,2.02,-802
-157.250412087857,2.02,-1511
-157.230494505429,2.02,-1745
-157.210576923,2.02,-1802
-157.190659340571,2.02,-1914
-157.170741758143,2.02,-2013
-157.150824175714,2.02,-2244
-157.130906593286,2.02,-2369
-157.110989010857,2.02,-2475
-157.091071428429,2.02,-2558
-157.071153846,2.02,-2612
-157.628846154,2,-1705
-157.608928571571,2,-1518
-157.589010989143,2,-1296
-157.569093406714,2,-1030
-157.549175824286,2,-736
-157.529258241857,2,-261
-157.509340659429,2,-112
-157.489423077,2,-30
-157.469505494571,2,0
-157.449587912143,2,1
-157.429670329714,2,1
-157.409752747286,2,6
-157.389835164857,2,4
-157.369917582429,2,-1
-157.35,2,-13
-157.330082417571,2,9
-157.310164835143,2,44
-157.290247252714,2,116
-157.270329670286,2,-612
-157.250412087857,2,-1265
-157.230494505429,2,-1622
-157.210576923,2,-1762
-157.190659340571,2,-1836
-157.170741758143,2,-1895
-157.150824175714,2,-2028
-157.130906593286,2,-2100
-157.110989010857,2,-2161
-157.091071428429,2,-2208
-157.071153846,2,-2228
-157.628846154,1.98,-1698
-157.608928571571,1.98,-1497
-157.589010989143,1.98,-1229
-157.569093406714,1.98,-805
-157.549175824286,1.98,-393
-157.529258241857,1.98,-13
-157.509340659429,1.98,2
-157.489423077,1.98,-8
-157.469505494571,1.98,-3
-157.449587912143,1.98,-5
-157.429670329714,1.98,1
-157.409752747286,1.98,2
-157.389835164857,1.98,3
-157.369917582429,1.98,2
-157.35,1.98,3
-157.330082417571,1.98,2
-157.310164835143,1.98,2
-157.290247252714,1.98,2
-157.270329670286,1.98,-614
-157.250412087857,1.98,-1087
-157.230494505429,1.98,-1439
-157.210576923,1.98,-1652
-157.190659340571,1.98,-1753
-157.170741758143,1.98,-1792
-157.150824175714,1.98,-1840
-157.130906593286,1.98,-1845
-157.110989010857,1.98,-1833
-157.091071428429,1.98,-1809
-157.071153846,1.98,-1767
-157.628846154,1.96,-1586
-157.608928571571,1.96,-1365
-157.589010989143,1.96,-1164
-157.569093406714,1.96,-678
-157.549175824286,1.96,-292
-157.529258241857,1.96,-3
-157.509340659429,1.96,7
-157.489423077,1.96,-14
-157.469505494571,1.96,-24
-157.449587912143,1.96,-25
-157.429670329714,1.96,-7
-157.409752747286,1.96,-6
-157.389835164857,1.96,-45
-157.369917582429,1.96,0
-157.35,1.96,-24
-157.330082417571,1.96,0
-157.310164835143,1.96,-2
-157.290247252714,1.96,1
-157.270329670286,1.96,-646
-157.250412087857,1.96,-1049
-157.230494505429,1.96,-1368
-157.210576923,1.96,-1590
-157.190659340571,1.96,-1719
-157.170741758143,1.96,-1773
-157.150824175714,1.96,-1845
-157.130906593286,1.96,-1846
-157.110989010857,1.96,-1828
-157.091071428429,1.96,-1793
-157.071153846,1.96,-1734
-157.628846154,1.94,-1365
-157.608928571571,1.94,-1032
-157.589010989143,1.94,-693
-157.569093406714,1.94,-385
-157.549175824286,1.94,-146
-157.529258241857,1.94,6
-157.509340659429,1.94,2
-157.489423077,1.94,-13
-157.469505494571,1.94,-41
-157.449587912143,1.94,-65
-157.429670329714,1.94,-57
-157.409752747286,1.94,4
-157.389835164857,1.94,2
-157.369917582429,1.94,-1
-157.35,1.94,1
-157.330082417571,1.94,-8
-157.310164835143,1.94,-7
-157.290247252714,1.94,-82
-157.270329670286,1.94,-636
-157.250412087857,1.94,-982
-157.230494505429,1.94,-1289
-157.210576923,1.94,-1533
-157.190659340571,1.94,-1694
-157.170741758143,1.94,-1788
-157.150824175714,1.94,-1868
-157.130906593286,1.94,-1889
-157.110989010857,1.94,-1896
-157.091071428429,1.94,-1870
-157.071153846,1.94,-1811
-157.628846154,1.92,-1169
-157.608928571571,1.92,-743
-157.589010989143,1.92,-276
-157.569093406714,1.92,-134
-157.549175824286,1.92,-6
-157.529258241857,1.92,2
-157.509340659429,1.92,2
-157.489423077,1.92,-7
-157.469505494571,1.92,-43
-157.449587912143,1.92,-88
-157.429670329714,1.92,-122
-157.409752747286,1.92,1
-157.389835164857,1.92,-44
-157.369917582429,1.92,1
-157.35,1.92,-12
-157.330082417571,1.92,-41
-157.310164835143,1.92,-13
-157.290247252714,1.92,-114
-157.270329670286,1.92,-570
-157.250412087857,1.92,-873
-157.230494505429,1.92,-1153
-157.210576923,1.92,-1429
-157.190659340571,1.92,-1630
-157.170741758143,1.92,-1780
-157.150824175714,1.92,-1887
-157.130906593286,1.92,-1949
-157.110989010857,1.92,-2003
-157.091071428429,1.92,-2002
-157.071153846,1.92,-1963
-157.628846154,1.9,-1101
-157.608928571571,1.9,-731
-157.589010989143,1.9,-372
-157.569093406714,1.9,-119
-157.549175824286,1.9,-8
-157.529258241857,1.9,1
-157.509340659429,1.9,-6
-157.489423077,1.9,-16
-157.469505494571,1.9,-31
-157.449587912143,1.9,-48
-157.429670329714,1.9,-50
-157.409752747286,1.9,1
-157.389835164857,1.9,2
-157.369917582429,1.9,1
-157.35,1.9,2
-157.330082417571,1.9,-27
-157.310164835143,1.9,-31
-157.290247252714,1.9,-106
-157.270329670286,1.9,-436
-157.250412087857,1.9,-662
-157.230494505429,1.9,-912
-157.210576923,1.9,-1189
-157.190659340571,1.9,-1466
-157.170741758143,1.9,-1697
-157.150824175714,1.9,-1901
-157.130906593286,1.9,-2006
-157.110989010857,1.9,-2097
-157.091071428429,1.9,-2145
-157.071153846,1.9,-2137
-157.628846154,1.88,-1168
-157.608928571571,1.88,-900
-157.589010989143,1.88,-606
-157.569093406714,1.88,-120
-157.549175824286,1.88,-28
-157.529258241857,1.88,-18
-157.509340659429,1.88,-10
-157.489423077,1.88,-17
-157.469505494571,1.88,-9
-157.449587912143,1.88,4
-157.429670329714,1.88,-1
-157.409752747286,1.88,1
-157.389835164857,1.88,-90
-157.369917582429,1.88,-1
-157.35,1.88,-7
-157.330082417571,1.88,-48
-157.310164835143,1.88,-20
-157.290247252714,1.88,-71
-157.270329670286,1.88,-270
-157.250412087857,1.88,-415
-157.230494505429,1.88,-602
-157.210576923,1.88,-857
-157.190659340571,1.88,-1199
-157.170741758143,1.88,-1549
-157.150824175714,1.88,-1872
-157.130906593286,1.88,-2064
-157.110989010857,1.88,-2192
-157.091071428429,1.88,-2285
-157.071153846,1.88,-2316
-157.628846154,1.86,-1342
-157.608928571571,1.86,-1097
-157.589010989143,1.86,-668
-157.569093406714,1.86,2
-157.549175824286,1.86,5
-157.529258241857,1.86,6
-157.509340659429,1.86,6
-157.489423077,1.86,4
-157.469505494571,1.86,3
-157.449587912143,1.86,-2
-157.429670329714,1.86,4
-157.409752747286,1.86,-2
-157.389835164857,1.86,1
-157.369917582429,1.86,1
-157.35,1.86,2
-157.330082417571,1.86,-41
-157.310164835143,1.86,-33
-157.290247252714,1.86,-41
-157.270329670286,1.86,-113
-157.250412087857,1.86,-180
-157.230494505429,1.86,-292
-157.210576923,1.86,-494
-157.190659340571,1.86,-838
-157.170741758143,1.86,-1232
-157.150824175714,1.86,-1883
-157.130906593286,1.86,-2109
-157.110989010857,1.86,-2287
-157.091071428429,1.86,-2398
-157.071153846,1.86,-2442
-157.628846154,1.84,-1593
-157.608928571571,1.84,-1470
-157.589010989143,1.84,-1274
-157.569093406714,1.84,-986
-157.549175824286,1.84,-700
-157.529258241857,1.84,-368
-157.509340659429,1.84,-235
-157.489423077,1.84,-23
-157.469505494571,1.84,4
-157.449587912143,1.84,4
-157.429670329714,1.84,1
-157.409752747286,1.84,1
-157.389835164857,1.84,-1
-157.369917582429,1.84,-1
-157.35,1.84,3
-157.330082417571,1.84,4
-157.310164835143,1.84,-16
-157.290247252714,1.84,-5
-157.270329670286,1.84,35
-157.250412087857,1.84,44
-157.230494505429,1.84,25
-157.210576923,1.84,-44
-157.190659340571,1.84,-195
-157.170741758143,1.84,-374
-157.150824175714,1.84,-913
-157.130906593286,1.84,-1525
-157.110989010857,1.84,-2119
-157.091071428429,1.84,-2409
-157.071153846,1.84,-2498
-157.628846154,1.82,-1670
-157.608928571571,1.82,-1608
-157.589010989143,1.82,-1487
-157.569093406714,1.82,-1336
-157.549175824286,1.82,-1156
-157.529258241857,1.82,-824
-157.509340659429,1.82,-670
-157.489423077,1.82,-508
-157.469505494571,1.82,-3
-157.449587912143,1.82,-28
-157.429670329714,1.82,2
-157.409752747286,1.82,1
-157.389835164857,1.82,-16
-157.369917582429,1.82,-1
-157.35,1.82,-2
-157.330082417571,1.82,3
-157.310164835143,1.82,2
-157.290247252714,1.82,2
-157.270329670286,1.82,26
-157.250412087857,1.82,36
-157.230494505429,1.82,25
-157.210576923,1.82,-9
-157.190659340571,1.82,-23
-157.170741758143,1.82,-23
-157.150824175714,1.82,-76
-157.130906593286,1.82,-1043
-157.110989010857,1.82,-1957
-157.091071428429,1.82,-2282
-157.071153846,1.82,-2371
-157.628846154,1.8,-1779
-157.608928571571,1.8,-1766
-157.589010989143,1.8,-1711
-157.569093406714,1.8,-1613
-157.549175824286,1.8,-1476
-157.529258241857,1.8,-1159
-157.509340659429,1.8,-1005
-157.489423077,1.8,-789
-157.469505494571,1.8,-406
-157.449587912143,1.8,-20
-157.429670329714,1.8,2
-157.409752747286,1.8,3
-157.389835164857,1.8,3
-157.369917582429,1.8,2
-157.35,1.8,2
-157.330082417571,1.8,2
-157.310164835143,1.8,3
-157.290247252714,1.8,3
-157.270329670286,1.8,3
-157.250412087857,1.8,12
-157.230494505429,1.8,9
-157.210576923,1.8,11
-157.190659340571,1.8,67
-157.170741758143,1.8,165
-157.150824175714,1.8,-27
-157.130906593286,1.8,-801
-157.110989010857,1.8,-1626
-157.091071428429,1.8,-2045
-157.071153846,1.8,-2205
-157.628846154,1.78,-1894
-157.608928571571,1.78,-1918
-157.589010989143,1.78,-1914
-157.569093406714,1.78,-1845
-157.549175824286,1.78,-1728
-157.529258241857,1.78,-1424
-157.509340659429,1.78,-1287
-157.489423077,1.78,-1121
-157.469505494571,1.78,-999
-157.449587912143,1.78,-827
-157.429670329714,1.78,2
-157.409752747286,1.78,3
-157.389835164857,1.78,-56
-157.369917582429,1.78,4
-157.35,1.78,-27
-157.330082417571,1.78,2
-157.310164835143,1.78,-8
-157.290247252714,1.78,3
-157.270329670286,1.78,4
-157.250412087857,1.78,4
-157.230494505429,1.78,3
-157.210576923,1.78,1
-157.190659340571,1.78,57
-157.170741758143,1.78,138
-157.150824175714,1.78,-36
-157.130906593286,1.78,-695
-157.110989010857,1.78,-1455
-157.091071428429,1.78,-1788
-157.071153846,1.78,-1948
-157.628846154,1.76,-1976
-157.608928571571,1.76,-2031
-157.589010989143,1.76,-2064
-157.569093406714,1.76,-2041
