V1,V2,V3
175.47,-1.8,-698
175.492857142857,-1.8,-142
175.515714285714,-1.8,-15
175.538571428571,-1.8,1
175.561428571429,-1.8,-216
175.584285714286,-1.8,-594
175.607142857143,-1.8,-1160
175.63,-1.8,-1736
175.47,-1.82222222222222,-434
175.492857142857,-1.82222222222222,-67
175.515714285714,-1.82222222222222,-31
175.538571428571,-1.82222222222222,-5
175.561428571429,-1.82222222222222,-69
175.584285714286,-1.82222222222222,-291
175.607142857143,-1.82222222222222,-702
175.63,-1.82222222222222,-1208
175.47,-1.84444444444444,-14
175.492857142857,-1.84444444444444,82
175.515714285714,-1.84444444444444,-15
175.538571428571,-1.84444444444444,-5
175.561428571429,-1.84444444444444,-11
175.584285714286,-1.84444444444444,-86
175.607142857143,-1.84444444444444,-293
175.63,-1.84444444444444,-700
175.47,-1.86666666666667,-267
175.492857142857,-1.86666666666667,-8
175.515714285714,-1.86666666666667,14
175.538571428571,-1.86666666666667,-5
175.561428571429,-1.86666666666667,-4
175.584285714286,-1.86666666666667,2
175.607142857143,-1.86666666666667,2
175.63,-1.86666666666667,-356
175.47,-1.88888888888889,-669
175.492857142857,-1.88888888888889,-305
175.515714285714,-1.88888888888889,-111
175.538571428571,-1.88888888888889,-13
175.561428571429,-1.88888888888889,-5
175.584285714286,-1.88888888888889,-30
175.607142857143,-1.88888888888889,3
175.63,-1.88888888888889,-141
175.47,-1.91111111111111,-1701
175.492857142857,-1.91111111111111,-1253
175.515714285714,-1.91111111111111,-860
175.538571428571,-1.91111111111111,-476
175.561428571429,-1.91111111111111,-103
175.584285714286,-1.91111111111111,-180
175.607142857143,-1.91111111111111,173
175.63,-1.91111111111111,-43
175.47,-1.93333333333333,-2180
175.492857142857,-1.93333333333333,-1734
175.515714285714,-1.93333333333333,-1292
175.538571428571,-1.93333333333333,-813
175.561428571429,-1.93333333333333,8
175.584285714286,-1.93333333333333,99
175.607142857143,-1.93333333333333,1
175.63,-1.93333333333333,-1157
175.47,-1.95555555555556,-2569
175.492857142857,-1.95555555555556,-2139
175.515714285714,-1.95555555555556,-1695
175.538571428571,-1.95555555555556,-1139
175.561428571429,-1.95555555555556,2
175.584285714286,-1.95555555555556,-181
175.607142857143,-1.95555555555556,-1194
175.63,-1.95555555555556,-2699
175.47,-1.97777777777778,-2873
175.492857142857,-1.97777777777778,-2429
175.515714285714,-1.97777777777778,-1941
175.538571428571,-1.97777777777778,-1390
175.561428571429,-1.97777777777778,-701
175.584285714286,-1.97777777777778,-1090
175.607142857143,-1.97777777777778,-1951
175.63,-1.97777777777778,-2817
175.47,-2,-3080
175.492857142857,-2,-2635
175.515714285714,-2,-2149
175.538571428571,-2,-1609
175.561428571429,-2,-1335
175.584285714286,-2,-1839
175.607142857143,-2,-2310
175.63,-2,-2736
